CustomerID,LastName,FirstName,PhoneNumber,CreatedDate,UpdatedDate,Source
B09477DC-5DCD-412A-AC13-01606E390264,Kolos,Orsos,5555550561,2017-01-01,2017-07-16,FourthCoffee
3B3D46CB-FDB6-494F-82DF-02101A02EDFD,Chandrakanta,Mistry,5555550033,2017-01-01,2017-11-07,FourthCoffee
F7596520-CD3E-490E-A8EF-0349B36EAAE1,Tivadar,Szabo,5555550997,2017-05-23,2017-10-12,FourthCoffee
0A58BEA6-B3BD-4867-9F1D-035046FFB03C,Milada,Radova,5555559498,2017-01-01,2017-09-14,FourthCoffee
D05444AD-4558-40BA-A022-047D53E8ACF8,Cristian,Bojin,5555550330,2017-01-01,2017-10-07,FourthCoffee
D199E279-E223-4817-9070-04E1F3285786,Leo,Lamb,5555559179,2017-04-24,2017-06-21,FourthCoffee
9C58BA57-CE0A-4613-B08B-0544EF2BCCC8,Miroslav,Horvath,5555559247,2017-02-02,2017-10-30,FourthCoffee
3BA863F6-C9DD-4AC9-A85D-05D6F5F72383,Hattie,Villarreal,5555550250,2017-01-01,2017-07-20,FourthCoffee
550581B7-88E5-4466-A314-06A1CE29ACFD,Saral,Deshpande,5555559949,2017-01-01,2017-06-10,FourthCoffee
618E11A2-E3F0-4A20-83B9-0712E132D4A4,Stern,Vanderschans,5555559793,2017-05-30,2017-07-28,FourthCoffee
1240FB05-6FD2-48A7-BC8A-095144B0F758,Jaidev,Singh,5555559846,2017-01-01,2017-09-18,FourthCoffee
21CB8446-CC8B-4EC5-9BB3-0AE95F8D3430,Ellen,Peacock,5555559094,2017-01-01,2017-09-25,FourthCoffee
797D5EC7-48F4-49EC-9266-0BB7180F252C,Ethan,Greenwood,5555559457,2017-01-01,2017-11-10,FourthCoffee
C9092895-97F0-4120-9B60-0BC59A5BD98C,Ines,Martinez,5555559186,2017-01-01,2017-06-19,FourthCoffee
D3745E45-55E6-41D4-A1FD-0C64050165C3,Jackie,Wilder,5555559431,2017-01-25,2017-11-18,FourthCoffee
14042897-9C47-4E60-962F-0CAFB43F90FE,Bonita,Turner,5555559636,2017-01-01,2017-08-30,FourthCoffee
8C6188C5-AEB6-4E3F-8EA1-0D8F718755A5,Lucas,Bowen,5555550414,2017-01-01,2017-08-06,FourthCoffee
A38246E8-2680-4D2E-AED2-0EAAE0D69BCC,Julian,Persson,5555550399,2017-02-02,2017-10-19,FourthCoffee
EB266CDD-391B-4FDC-877E-1160BCE6CC00,Chaayaadaevi,Mudigonda,5555550918,2017-01-01,2017-10-30,FourthCoffee
8D1ABE81-ABEF-4286-B7F7-11E9EAFCB844,Jay,Rose,5555559455,2017-02-04,2017-11-27,FourthCoffee
BB2ACFEF-F4C2-40FE-9376-12D1BE6E27FE,Agne,Lukauskiene,5555559218,2017-01-01,2017-10-23,FourthCoffee
